log(y+),u+
4.969229999999999592e+00,2.704279999999999973e+01
4.982479999999999798e+00,2.704269999999999996e+01
4.995720000000000383e+00,2.704260000000000019e+01
5.008969999999999700e+00,2.704260000000000019e+01
5.022210000000000285e+00,2.704250000000000043e+01
5.035459999999999603e+00,2.704240000000000066e+01
5.048709999999999809e+00,2.704230000000000089e+01
5.061950000000000394e+00,2.704220000000000113e+01
5.075199999999999712e+00,2.704210000000000136e+01
5.088440000000000296e+00,2.704200000000000159e+01
5.101689999999999614e+00,2.704189999999999827e+01
5.114930000000000199e+00,2.704179999999999851e+01
5.128180000000000405e+00,2.704169999999999874e+01
5.141429999999999723e+00,2.704149999999999920e+01
5.154670000000000307e+00,2.704139999999999944e+01
5.167919999999999625e+00,2.704129999999999967e+01
5.181160000000000210e+00,2.704110000000000014e+01
5.194410000000000416e+00,2.704090000000000060e+01
5.207659999999999734e+00,2.704080000000000084e+01
5.220900000000000318e+00,2.704060000000000130e+01
5.234149999999999636e+00,2.704019999999999868e+01
5.247390000000000221e+00,2.704019999999999868e+01
5.260640000000000427e+00,2.704060000000000130e+01
