y,mut
4.257110164999999835e-01,2.104803105999999979e-01
4.388951541000000178e-01,2.104806992999999904e-01
4.524876003000000146e-01,2.104810514000000077e-01
4.665010003999999766e-01,2.104813714000000058e-01
4.809483910999999834e-01,2.104816633999999909e-01
4.958432130000000049e-01,2.104819310000000110e-01
5.111993229000000305e-01,2.104821772999999896e-01
5.270310067000000265e-01,2.104824050000000113e-01
5.433529929000000536e-01,2.104826166000000054e-01
5.601804658000000270e-01,2.104828143999999956e-01
5.775290803999999500e-01,2.104830004999999893e-01
5.954149761000000485e-01,2.104831765999999882e-01
6.138547924999999683e-01,2.104833443999999942e-01
6.328656843000000087e-01,2.104835056000000093e-01
6.524653374000000117e-01,2.104836616000000105e-01
6.726719856999999747e-01,2.104838138000000025e-01
6.935044275999999730e-01,2.104839634000000015e-01
7.149820437999999667e-01,2.104841118000000122e-01
7.371248150000000443e-01,2.104842601999999951e-01
7.599533408999999962e-01,2.104844097999999941e-01
7.834888591999999985e-01,2.104845616999999891e-01
8.077532652000000146e-01,2.104847172000000044e-01
8.327691323000000478e-01,2.104848773999999922e-01
8.585597328999999833e-01,2.104850444999999959e-01
8.851490604999999734e-01,2.104856562999999903e-01
9.125618511999999960e-01,2.104908487999999911e-01
9.408236075000000476e-01,2.105084693000000007e-01
9.699606215999999614e-01,2.105299140000000124e-01
1.000000000000000000e+00,2.105503022000000113e-01
