y,u
4.882659999999999778e-02,9.985349999999999504e-01
5.033870000000000011e-02,9.985349999999999504e-01
5.189769999999999800e-02,9.985340000000000327e-01
5.350490000000000107e-02,9.985340000000000327e-01
5.516200000000000270e-02,9.985330000000000039e-01
5.687029999999999863e-02,9.985330000000000039e-01
5.863159999999999900e-02,9.985330000000000039e-01
6.044739999999999835e-02,9.985319999999999752e-01
6.231939999999999702e-02,9.985309999999999464e-01
6.424939999999999818e-02,9.985309999999999464e-01
6.623919999999999808e-02,9.985300000000000287e-01
6.829060000000000685e-02,9.985300000000000287e-01
7.040559999999999874e-02,9.985289999999999999e-01
7.258599999999999774e-02,9.985289999999999999e-01
7.483399999999999774e-02,9.985279999999999712e-01
7.715160000000000073e-02,9.985270000000000534e-01
7.954089999999999772e-02,9.985270000000000534e-01
8.200430000000000219e-02,9.985260000000000247e-01
8.454390000000000516e-02,9.985249999999999959e-01
8.716219999999999524e-02,9.985249999999999959e-01
8.986159999999999981e-02,9.985239999999999672e-01
9.264459999999999362e-02,9.985230000000000494e-01
9.551379999999999593e-02,9.985220000000000207e-01
9.847179999999999822e-02,9.985220000000000207e-01
1.015210000000000001e-01,9.985209999999999919e-01
1.046659999999999952e-01,9.985199999999999632e-01
1.079070000000000029e-01,9.985190000000000454e-01
1.112490000000000007e-01,9.985180000000000167e-01
1.146940000000000043e-01,9.985169999999999879e-01
1.182460000000000039e-01,9.985159999999999592e-01
1.219080000000000025e-01,9.985150000000000414e-01
1.256839999999999902e-01,9.985140000000000127e-01
1.295759999999999967e-01,9.985129999999999839e-01
1.335890000000000133e-01,9.985119999999999552e-01
1.377259999999999873e-01,9.985110000000000374e-01
1.419920000000000071e-01,9.985100000000000087e-01
1.463889999999999914e-01,9.985089999999999799e-01
1.509230000000000016e-01,9.985079999999999512e-01
1.555970000000000131e-01,9.985070000000000334e-01
1.604150000000000020e-01,9.985049999999999759e-01
1.653830000000000022e-01,9.985039999999999472e-01
1.705049999999999899e-01,9.985030000000000294e-01
1.757859999999999978e-01,9.985009999999999719e-01
1.812300000000000022e-01,9.985000000000000542e-01
1.868430000000000091e-01,9.984990000000000254e-01
1.926289999999999947e-01,9.984969999999999679e-01
1.985949999999999938e-01,9.984960000000000502e-01
2.047450000000000103e-01,9.984939999999999927e-01
2.110859999999999959e-01,9.984929999999999639e-01
2.176230000000000109e-01,9.984910000000000174e-01
2.243630000000000069e-01,9.984899999999999887e-01
2.313109999999999888e-01,9.984880000000000422e-01
2.384749999999999925e-01,9.984859999999999847e-01
2.458599999999999952e-01,9.984849999999999559e-01
2.534750000000000059e-01,9.984830000000000094e-01
2.613249999999999740e-01,9.984809999999999519e-01
2.694179999999999908e-01,9.984790000000000054e-01
2.777620000000000089e-01,9.984779999999999767e-01
2.863640000000000074e-01,9.984760000000000302e-01
2.952319999999999944e-01,9.984739999999999727e-01
3.043759999999999799e-01,9.984720000000000262e-01
3.138020000000000254e-01,9.984699999999999687e-01
3.235210000000000030e-01,9.984680000000000222e-01
3.335400000000000031e-01,9.984659999999999647e-01
3.438689999999999802e-01,9.984629999999999894e-01
3.545189999999999730e-01,9.984610000000000429e-01
3.654979999999999896e-01,9.984589999999999854e-01
3.768179999999999863e-01,9.984570000000000389e-01
3.884880000000000000e-01,9.984539999999999527e-01
4.005190000000000139e-01,9.984520000000000062e-01
4.129229999999999845e-01,9.984499999999999487e-01
4.257110000000000061e-01,9.984469999999999734e-01
4.388949999999999796e-01,9.984450000000000269e-01
4.524880000000000013e-01,9.984420000000000517e-01
4.665009999999999990e-01,9.984389999999999654e-01
4.809479999999999866e-01,9.984370000000000189e-01
4.958429999999999782e-01,9.984340000000000437e-01
5.111989999999999590e-01,9.984309999999999574e-01
5.270310000000000272e-01,9.984279999999999822e-01
5.433529999999999749e-01,9.984250000000000069e-01
5.601800000000000113e-01,9.984220000000000317e-01
5.775289999999999591e-01,9.984189999999999454e-01
5.954150000000000276e-01,9.984159999999999702e-01
6.138550000000000395e-01,9.984119999999999662e-01
6.328660000000000396e-01,9.984089999999999909e-01
6.524649999999999617e-01,9.984049999999999869e-01
6.726720000000000477e-01,9.984009999999999829e-01
6.935040000000000093e-01,9.983969999999999789e-01
7.149820000000000064e-01,9.983929999999999749e-01
7.371250000000000302e-01,9.983889999999999709e-01
7.599529999999999896e-01,9.983840000000000492e-01
7.834889999999999910e-01,9.983790000000000164e-01
8.077530000000000543e-01,9.983739999999999837e-01
8.327689999999999815e-01,9.983680000000000332e-01
8.585599999999999898e-01,9.983630000000000004e-01
8.851489999999999636e-01,9.983560000000000212e-01
9.125619999999999843e-01,9.983509999999999884e-01
9.408239999999999936e-01,9.983370000000000299e-01
9.699609999999999621e-01,9.983370000000000299e-01
1.000000000000000000e+00,9.983490000000000419e-01
