y,mut
1.315825730999999887e-01,2.102310956000000008e-01
1.356576382999999941e-01,2.102449238000000109e-01
1.398589164000000051e-01,2.102579772000000013e-01
1.441902965000000092e-01,2.102702707000000115e-01
1.486558317999999990e-01,2.102818637999999962e-01
1.532596498999999890e-01,2.102928162000000101e-01
1.580060571000000136e-01,2.103031427000000009e-01
1.628994494999999876e-01,2.103128730999999918e-01
1.679444015000000068e-01,2.103220521999999981e-01
1.731455922000000036e-01,2.103307246999999991e-01
1.785078495999999904e-01,2.103388905999999947e-01
1.840361803999999990e-01,2.103466093999999953e-01
1.897357255000000076e-01,2.103538960000000124e-01
1.956117897999999911e-01,2.103607654999999910e-01
2.016698271000000042e-01,2.103672474999999931e-01
2.079154699999999911e-01,2.103733569000000025e-01
2.143545448999999992e-01,2.103791385999999874e-01
2.209930420000000006e-01,2.103845923999999867e-01
2.278371304000000042e-01,2.103897482000000041e-01
2.348931730000000107e-01,2.103946060000000118e-01
2.421677411000000002e-01,2.103991806999999936e-01
2.496675998000000007e-01,2.104035466999999993e-01
2.573997377999999725e-01,2.104076594000000022e-01
2.653713226000000147e-01,2.104115485999999979e-01
2.735897898999999911e-01,2.104152142999999864e-01
2.820627688999999827e-01,2.104186714000000069e-01
2.907981873000000106e-01,2.104219347000000073e-01
2.998040914999999806e-01,2.104250044000000042e-01
3.090889453999999814e-01,2.104279249999999879e-01
3.186613321000000276e-01,2.104306667999999991e-01
3.285301626000000086e-01,2.104332596000000055e-01
3.387046456000000205e-01,2.104357182999999909e-01
3.491942285999999895e-01,2.104380279999999992e-01
3.600086570000000097e-01,2.104402183999999898e-01
3.711580335999999924e-01,2.104422897000000070e-01
3.826526700999999808e-01,2.104442417999999870e-01
3.945032954000000092e-01,2.104460894999999887e-01
4.067209363000000022e-01,2.104478478000000041e-01
4.193169773000000045e-01,2.104495019000000022e-01
4.323030709999999832e-01,2.104510813999999896e-01
4.456913768999999914e-01,2.104525566000000070e-01
4.594942926999999733e-01,2.104539722000000057e-01
4.737246930999999828e-01,2.104553133000000020e-01
4.883958100999999941e-01,2.104565798999999959e-01
5.035212636000000463e-01,2.104577719999999874e-01
5.191151499999999697e-01,2.104589193999999996e-01
5.351920127999999499e-01,2.104600071999999933e-01
5.517667532000000152e-01,2.104610353999999961e-01
5.688547492000000094e-01,2.104620038999999998e-01
5.864720344999999613e-01,2.104629278000000048e-01
6.046348809999999574e-01,2.104638070000000027e-01
6.233602165999999611e-01,2.104646414999999937e-01
6.426655054000000034e-01,2.104654461000000087e-01
6.625686884000000498e-01,2.104662210000000089e-01
6.830881833999999930e-01,2.104669510999999937e-01
7.042432427000000494e-01,2.104676664000000030e-01
7.260534167000000094e-01,2.104683518000000086e-01
7.485390901999999791e-01,2.104689925999999878e-01
7.717211245999999747e-01,2.104697376000000120e-01
7.956210375000000168e-01,2.104702740999999933e-01
8.202611803999999562e-01,2.104715108999999917e-01
8.456644415999999831e-01,2.104715406999999872e-01
8.718544244999999471e-01,2.104787379999999986e-01
8.988554478000000403e-01,2.104789763999999896e-01
9.266927242000000398e-01,2.104970217000000088e-01
9.553921223000000351e-01,2.104932666000000063e-01
9.849802852000000275e-01,2.105229646000000010e-01
